timestamp;memory
1717423923989;10
1717423924993;10
1717423926004;10
1717423927007;10
1717423928175;10
1717423929176;10
1717423930180;9
1717423931180;11
1717423932180;14
1717423933179;18
1717423934179;21
1717423935180;21
1717423936180;22
1717423937180;26
1717423938180;28
1717423939180;37
1717423940181;36
1717423941182;36
1717423942182;40
1717423943182;44
1717423944183;43
1717423945184;46
1717423946183;49
1717423947183;54
1717423948185;57
1717423949184;61
1717423950184;61
1717423951185;63
1717423952185;71
1717423953185;73
1717423954187;73
1717423955190;74
1717423956192;76
1717423957192;77
1717423958194;82
1717423959194;84
1717423960194;87
1717423961196;94
1717423962197;93
1717423963197;100
1717423964197;98
1717423965197;99
1717423966197;103
1717423967199;108
1717423968200;110
1717423969199;119
1717423970200;120
1717423971200;120
1717423972200;122
1717423973200;125
1717423974200;130
1717423975200;131
